"Subject_Id"|"Activity_Id"|"acclmtr_time_domain_body_signal_x_axis_mean"|"acclmtr_time_domain_body_signal_y_axis_mean"|"acclmtr_time_domain_body_signal_z_axis_mean"|"acclmtr_time_domain_body_signal_x_axis_stddev"|"acclmtr_time_domain_body_signal_y_axis_stddev"|"acclmtr_time_domain_body_signal_z_axis_stddev"|"acclmtr_time_domain_gravity_signal_x_axis_mean"|"acclmtr_time_domain_gravity_signal_y_axis_mean"|"acclmtr_time_domain_gravity_signal_z_axis_mean"|"acclmtr_time_domain_gravity_signal_x_axis_stddev"|"acclmtr_time_domain_gravity_signal_y_axis_stddev"|"acclmtr_time_domain_gravity_signal_z_axis_stddev"|"acclmtr_time_domain_jerk_signal_x_axis_mean"|"acclmtr_time_domain_jerk_signal_y_axis_mean"|"acclmtr_time_domain_jerk_signal_z_axis_mean"|"acclmtr_time_domain_jerk_signal_x_axis_stddev"|"acclmtr_time_domain_jerk_signal_y_axis_stddev"|"acclmtr_time_domain_jerk_signal_z_axis_stddev"|"gyroscope_time_domain_body_signal_x_axis_mean"|"gyroscope_time_domain_body_signal_y_axis_mean"|"gyroscope_time_domain_body_signal_z_axis_mean"|"gyroscope_time_domain_body_signal_x_axis_stddev"|"gyroscope_time_domain_body_signal_y_axis_stddev"|"gyroscope_time_domain_body_signal_z_axis_stddev"|"gyroscope_time_domain_jerk_signal_x_axis_mean"|"gyroscope_time_domain_jerk_signal_y_axis_mean"|"gyroscope_time_domain_jerk_signal_z_axis_mean"|"gyroscope_time_domain_jerk_signal_x_axis_stddev"|"gyroscope_time_domain_jerk_signal_y_axis_stddev"|"gyroscope_time_domain_jerk_signal_z_axis_stddev"|"acclmtr_time_domain_body_signal_magnitude_mean"|"acclmtr_time_domain_body_signal_magnitude_stddev"|"acclmtr_time_domain_gravity_signal_magnitude_mean"|"acclmtr_time_domain_gravity_signal_magnitude_stddev"|"acclmtr_time_domain_jerk_signal_magnitude_mean"|"acclmtr_time_domain_jerk_signal_magnitude_stddev"|"gyroscope_time_domain_body_signal_magnitude_mean"|"gyroscope_time_domain_body_signal_magnitude_stddev"|"gyroscope_time_domain_jerk_signal_magnitude_mean"|"gyroscope_time_domain_jerk_signal_magnitude_stddev"|"acclmtr_frqncy_domain_body_signal_x_axis_mean"|"acclmtr_frqncy_domain_body_signal_y_axis_mean"|"acclmtr_frqncy_domain_body_signal_z_axis_mean"|"acclmtr_frqncy_domain_body_signal_x_axis_stddev"|"acclmtr_frqncy_domain_body_signal_y_axis_stddev"|"acclmtr_frqncy_domain_body_signal_z_axis_stddev"|"acclmtr_frqncy_domain_jerk_signal_x_axis_mean"|"acclmtr_frqncy_domain_jerk_signal_y_axis_mean"|"acclmtr_frqncy_domain_jerk_signal_z_axis_mean"|"acclmtr_frqncy_domain_jerk_signal_x_axis_stddev"|"acclmtr_frqncy_domain_jerk_signal_y_axis_stddev"|"acclmtr_frqncy_domain_jerk_signal_z_axis_stddev"|"gyroscope_frqncy_domain_body_signal_x_axis_mean"|"gyroscope_frqncy_domain_body_signal_y_axis_mean"|"gyroscope_frqncy_domain_body_signal_z_axis_mean"|"gyroscope_frqncy_domain_body_signal_x_axis_stddev"|"gyroscope_frqncy_domain_body_signal_y_axis_stddev"|"gyroscope_frqncy_domain_body_signal_z_axis_stddev"|"acclmtr_frqncy_domain_body_signal_magnitude_mean"|"acclmtr_frqncy_domain_body_signal_magnitude_stddev"|"acclmtr_frqncy_domain_jerk_signal_magnitude_mean"|"acclmtr_frqncy_domain_jerk_signal_magnitude_stddev"|"gyroscope_frqncy_domain_body_signal_magnitude_mean"|"gyroscope_frqncy_domain_body_signal_magnitude_stddev"|"gyroscope_frqncy_domain_jerk_signal_magnitude_mean"|"gyroscope_frqncy_domain_jerk_signal_magnitude_stddev"
"11"|2|"WALKING_DOWNSTAIRS"|0.27762|-0.022661|-0.11681|0.046367|0.26288|-0.10284|0.86183|-0.32578|-0.043889|-0.94036|-0.94007|-0.93144|0.11004|-0.0032796|-0.020935|0.14725|0.12683|-0.34012|-0.11595|-0.0048233|0.097174|-0.32079|-0.41574|-0.27942|-0.058104|-0.042147|-0.071023|-0.24394|-0.4694|-0.21827|0.089951|0.21559|0.089951|0.21559|0.0056552|0.22962|-0.16219|-0.27484|-0.41087|-0.34319|0.11284|0.27835|-0.13129|0.016105|0.17197|-0.16203|0.13812|0.096209|-0.2715|0.049959|0.080833|-0.40823|-0.14578|-0.36191|-0.087494|-0.37944|-0.45873|-0.42299|0.29342|-0.021479|0.22225|0.22748|-0.32084|-0.37258|-0.38018|-0.3437
"12"|2|"WALKING_UPSTAIRS"|0.24716|-0.021412|-0.15251|-0.30438|0.10803|-0.11212|0.79072|-0.41621|-0.19589|-0.93441|-0.92377|-0.878|0.074451|-0.0097099|0.019481|-0.27612|-0.18565|-0.57375|-0.057691|-0.032088|0.068837|-0.43925|-0.4663|-0.164|-0.082886|-0.042405|-0.044516|-0.46485|-0.64549|-0.4676|-0.10732|-0.20598|-0.10732|-0.20598|-0.32127|-0.21739|-0.21971|-0.37753|-0.57282|-0.59729|-0.26672|0.0099245|-0.281|-0.32058|0.08488|-0.094545|-0.25864|-0.18784|-0.52273|-0.36542|-0.24355|-0.62509|-0.33164|-0.48809|-0.2486|-0.47636|-0.45976|-0.21807|-0.14532|-0.36673|-0.18951|-0.26042|-0.45061|-0.43862|-0.6008|-0.62182
"13"|3|"LAYING"|0.27552|-0.018956|-0.1013|-0.98278|-0.96206|-0.96369|-0.24176|0.83703|0.4887|-0.98251|-0.9812|-0.96481|0.076981|0.013804|-0.0043563|-0.98088|-0.96871|-0.98209|-0.020817|-0.071851|0.138|-0.97455|-0.97727|-0.96351|-0.10004|-0.038977|-0.068734|-0.98033|-0.98676|-0.98334|-0.97279|-0.96422|-0.97279|-0.96422|-0.97948|-0.97612|-0.95156|-0.95428|-0.98671|-0.98314|-0.98067|-0.96117|-0.96833|-0.98369|-0.96409|-0.96328|-0.98051|-0.96875|-0.97912|-0.98312|-0.97104|-0.98371|-0.97017|-0.9781|-0.96234|-0.97599|-0.97703|-0.96726|-0.96552|-0.96835|-0.97595|-0.97531|-0.96459|-0.95544|-0.98428|-0.98257
"14"|3|"SITTING"|0.2572|-0.003503|-0.098358|-0.97101|-0.85662|-0.87511|0.9011|0.1273|0.13902|-0.95732|-0.90392|-0.89774|0.07261|0.0027253|-0.0042335|-0.97447|-0.95363|-0.97466|-0.038537|-0.075241|0.094011|-0.96543|-0.94485|-0.92641|-0.10361|-0.036091|-0.059008|-0.97255|-0.97864|-0.97375|-0.89538|-0.8703|-0.89538|-0.8703|-0.96908|-0.96655|-0.91935|-0.92552|-0.978|-0.97677|-0.97015|-0.89191|-0.91799|-0.97161|-0.84966|-0.86432|-0.97495|-0.95417|-0.97085|-0.97628|-0.95646|-0.97716|-0.95755|-0.95617|-0.93497|-0.96801|-0.93961|-0.93063|-0.90419|-0.87463|-0.96589|-0.96657|-0.94666|-0.92545|-0.9779|-0.97669
"15"|3|"STANDING"|0.28005|-0.014338|-0.10162|-0.96674|-0.89345|-0.91142|0.93503|-0.30174|0.024763|-0.98202|-0.95743|-0.92816|0.07509|0.0077166|-0.0080718|-0.95709|-0.94169|-0.97306|-0.024663|-0.05851|0.066526|-0.90046|-0.92779|-0.91236|-0.09946|-0.047242|-0.041683|-0.94094|-0.96843|-0.95829|-0.92543|-0.91514|-0.92543|-0.91514|-0.9593|-0.94877|-0.89209|-0.88213|-0.96234|-0.95768|-0.96012|-0.90808|-0.93951|-0.96993|-0.89243|-0.9048|-0.95767|-0.9435|-0.96917|-0.96057|-0.94395|-0.9756|-0.90128|-0.93771|-0.91617|-0.90199|-0.92313|-0.91974|-0.92697|-0.92184|-0.94863|-0.94821|-0.91368|-0.88344|-0.96033|-0.95712
"16"|3|"WALKING"|0.27557|-0.017177|-0.11267|-0.36036|-0.069914|-0.38741|0.93651|-0.26199|-0.13811|-0.97777|-0.96236|-0.95209|0.081475|0.010059|-0.0056226|-0.26868|-0.044962|-0.52949|-0.025641|-0.077915|0.081349|-0.57187|-0.56379|-0.4767|-0.09524|-0.038787|-0.050362|-0.38592|-0.63909|-0.53666|-0.25469|-0.32843|-0.25469|-0.32843|-0.28001|-0.13992|-0.46641|-0.56151|-0.56614|-0.56737|-0.31661|-0.081302|-0.41237|-0.37928|-0.12403|-0.423|-0.30469|-0.14051|-0.51414|-0.2966|-0.005615|-0.54353|-0.43785|-0.56153|-0.41813|-0.61512|-0.56889|-0.5459|-0.29003|-0.45637|-0.18676|-0.089852|-0.56976|-0.63264|-0.60775|-0.54909
"17"|3|"WALKING_DOWNSTAIRS"|0.29242|-0.019355|-0.11614|-0.05741|-0.03315|-0.36224|0.93906|-0.22883|-0.10235|-0.95006|-0.94609|-0.89994|0.072569|0.010971|-0.0020273|-0.085801|-0.11144|-0.57174|-0.13157|-0.013936|0.12383|-0.26165|-0.54674|-0.44231|-0.07787|-0.039157|-0.041619|-0.28568|-0.68095|-0.37461|-0.062813|-0.041134|-0.062813|-0.041134|-0.20524|-0.092632|-0.21529|-0.24579|-0.50857|-0.58392|-0.042171|-0.0077005|-0.40445|-0.065442|-0.10972|-0.38972|-0.090671|-0.13594|-0.52906|-0.16544|-0.14773|-0.61353|-0.12907|-0.54269|-0.30287|-0.30863|-0.55309|-0.54816|0.028941|-0.23385|-0.049478|-0.1591|-0.33238|-0.32244|-0.57628|-0.62491
"18"|3|"WALKING_UPSTAIRS"|0.26082|-0.032411|-0.11006|-0.31312|0.011628|-0.36975|0.88353|-0.38285|-0.16294|-0.94404|-0.90983|-0.90947|0.042688|0.039725|0.020821|-0.45836|-0.25168|-0.70855|0.072198|-0.13928|0.02156|-0.45604|-0.58274|-0.49233|-0.11551|-0.040037|-0.049818|-0.50727|-0.77577|-0.57343|-0.18401|-0.3336|-0.18401|-0.3336|-0.4369|-0.43902|-0.34732|-0.40889|-0.65886|-0.71803|-0.392|-0.078809|-0.50449|-0.28533|-0.0080399|-0.3508|-0.47843|-0.28377|-0.67731|-0.48645|-0.26819|-0.73871|-0.37822|-0.63729|-0.4315|-0.48482|-0.55605|-0.5611|-0.31587|-0.44799|-0.41292|-0.48061|-0.51421|-0.44518|-0.71688|-0.74003
"19"|4|"LAYING"|0.26356|-0.015003|-0.11069|-0.95419|-0.94171|-0.96267|-0.42066|0.91517|0.34153|-0.9212|-0.96982|-0.97618|0.093449|0.0069331|-0.0064105|-0.9783|-0.94221|-0.97851|-0.0092316|-0.093013|0.16972|-0.9731|-0.96111|-0.96207|-0.10502|-0.038123|-0.071216|-0.9751|-0.98686|-0.98397|-0.95456|-0.93129|-0.95456|-0.93129|-0.9701|-0.96079|-0.93024|-0.94703|-0.98507|-0.9827|-0.9588|-0.93888|-0.9675|-0.95246|-0.94638|-0.96215|-0.97854|-0.94397|-0.97538|-0.98008|-0.94437|-0.98026|-0.9672|-0.97219|-0.96148|-0.97509|-0.95618|-0.96581|-0.93939|-0.93719|-0.96229|-0.95804|-0.96156|-0.9471|-0.98361|-0.98254
"20"|4|"SITTING"|0.27154|-0.0071631|-0.10587|-0.98031|-0.89022|-0.9322|0.8693|0.21162|0.11012|-0.98141|-0.93273|-0.95095|0.07845|-0.010858|-0.01215|-0.97674|-0.9446|-0.97904|-0.049444|-0.08943|0.10115|-0.97013|-0.95847|-0.92797|-0.096949|-0.041848|-0.048996|-0.9699|-0.98444|-0.9688|-0.93569|-0.91441|-0.93569|-0.91441|-0.97013|-0.96255|-0.92606|-0.9289|-0.98049|-0.97581|-0.97746|-0.90578|-0.95178|-0.98191|-0.88947|-0.927|-0.97685|-0.9443|-0.97515|-0.97878|-0.94929|-0.9817|-0.96059|-0.96758|-0.93378|-0.97333|-0.95412|-0.93287|-0.929|-0.91982|-0.9625|-0.96158|-0.94877|-0.92885|-0.97655|-0.97626
"21"|4|"STANDING"|0.2805|-0.0094891|-0.096157|-0.97692|-0.8616|-0.89688|0.9562|-0.075901|0.16689|-0.97291|-0.91761|-0.8994|0.072133|-0.0065302|-0.021189|-0.97259|-0.93835|-0.97305|-0.030645|-0.061825|0.075564|-0.90969|-0.94923|-0.91|-0.10306|-0.046126|-0.049075|-0.94963|-0.97607|-0.95798|-0.90648|-0.89098|-0.90648|-0.89098|-0.96337|-0.95816|-0.90098|-0.88514|-0.96761|-0.96428|-0.9735|-0.88955|-0.93164|-0.97874|-0.85738|-0.88755|-0.97231|-0.93762|-0.96865|-0.97571|-0.94408|-0.97623|-0.90546|-0.95599|-0.91528|-0.91246|-0.94583|-0.91665|-0.91761|-0.89534|-0.95614|-0.96003|-0.91421|-0.88719|-0.96447|-0.96643
"22"|4|"WALKING"|0.27858|-0.01484|-0.1114|-0.44083|-0.078827|-0.58625|0.964|-0.085854|0.12776|-0.98383|-0.96796|-0.96297|0.078353|0.002956|-0.00076768|-0.29704|-0.22117|-0.75139|-0.031798|-0.072691|0.080568|-0.50092|-0.66539|-0.66261|-0.11532|-0.039347|-0.055117|-0.49234|-0.80742|-0.64045|-0.31205|-0.52768|-0.31205|-0.52768|-0.3667|-0.31692|-0.49779|-0.55312|-0.6813|-0.73015|-0.42672|-0.1494|-0.63101|-0.44723|-0.1018|-0.5942|-0.35888|-0.27955|-0.72899|-0.29733|-0.2099|-0.77236|-0.37338|-0.68846|-0.60138|-0.54265|-0.65466|-0.71646|-0.4508|-0.65117|-0.31859|-0.32046|-0.60929|-0.59394|-0.72433|-0.75777
"23"|4|"WALKING_DOWNSTAIRS"|0.27997|-0.009802|-0.10678|0.011194|-0.2186|-0.47919|0.94773|-0.062085|0.14871|-0.95526|-0.93207|-0.93775|0.097186|0.0056378|-0.0072914|-0.14576|-0.14624|-0.62665|-0.10284|-0.070403|0.059264|-0.37024|-0.69945|-0.49848|-0.092128|-0.034843|-0.049284|-0.396|-0.81686|-0.32578|-0.049162|-0.081956|-0.049162|-0.081956|-0.22885|-0.21686|-0.34661|-0.38057|-0.59284|-0.63708|-0.072239|-0.12961|-0.49468|0.03901|-0.32253|-0.51269|-0.16163|-0.17294|-0.58392|-0.20825|-0.1772|-0.66887|-0.2403|-0.71755|-0.31831|-0.41492|-0.69152|-0.62166|-0.019074|-0.26364|-0.1753|-0.28043|-0.42921|-0.45767|-0.62175|-0.68547
"24"|4|"WALKING_UPSTAIRS"|0.27088|-0.03198|-0.11422|-0.20493|-0.06669|-0.37214|0.94626|-0.23294|0.084168|-0.9585|-0.92338|-0.91962|0.056097|0.023402|0.0034028|-0.38049|-0.28154|-0.7265|0.039383|-0.085947|0.084375|-0.45443|-0.55119|-0.36081|-0.13147|-0.039051|-0.07225|-0.53367|-0.84072|-0.55624|-0.1537|-0.21201|-0.1537|-0.21201|-0.40092|-0.43726|-0.29978|-0.51097|-0.68698|-0.75527|-0.29449|-0.11711|-0.52466|-0.17322|-0.10143|-0.34511|-0.4183|-0.29781|-0.69011|-0.39676|-0.31453|-0.76277|-0.37107|-0.68431|-0.35077|-0.48355|-0.48982|-0.42453|-0.27683|-0.30101|-0.39741|-0.49732|-0.57579|-0.55249|-0.74075|-0.79421
"25"|5|"LAYING"|0.27833|-0.018304|-0.10794|-0.96593|-0.9693|-0.96856|-0.48347|0.95489|0.26364|-0.9457|-0.98596|-0.97708|0.084816|0.0074746|-0.0030407|-0.98331|-0.96456|-0.98542|-0.021894|-0.079871|0.15989|-0.9795|-0.97743|-0.96058|-0.10211|-0.040445|-0.070831|-0.98342|-0.98376|-0.98968|-0.96678|-0.95861|-0.96678|-0.95861|-0.98014|-0.97748|-0.94694|-0.95829|-0.98642|-0.98377|-0.96874|-0.96542|-0.97701|-0.96495|-0.97291|-0.96588|-0.98269|-0.96533|-0.98325|-0.98563|-0.96624|-0.98614|-0.9758|-0.97825|-0.9632|-0.98071|-0.97726|-0.96331|-0.96223|-0.96253|-0.97736|-0.97638|-0.96826|-0.95926|-0.98462|-0.98343
